scenario,param_label,v_measure_mean,v_measure_std,homogeneity_mean,completeness_mean,ari_mean,ami_mean,n_clusters_pred_mean,noise_ratio_mean,n_windows,v_measure_rank
stare_low,cs50_ms50_eps0.1,0.4987,0.3558,0.9073,0.4232,0.4313,0.4967,2.5,0.2458,100,2.5
stare_low,cs50_msauto_eps0.0,0.4987,0.3558,0.9073,0.4232,0.4313,0.4967,2.5,0.2458,100,2.5
stare_low,cs50_msauto_eps0.1,0.4987,0.3558,0.9073,0.4232,0.4313,0.4967,2.5,0.2458,100,2.5
stare_low,cs10_ms10_eps0.1,0.469,0.2648,0.8258,0.364,0.3668,0.4647,5.7,0.0686,100,5.5
stare_low,cs10_msauto_eps0.1,0.469,0.2648,0.8258,0.364,0.3668,0.4647,5.7,0.0686,100,5.5
stare_low,cs10_ms10_eps0.0,0.4684,0.2656,0.8234,0.3637,0.3664,0.4641,5.74,0.0709,100,7.5
stare_low,cs10_msauto_eps0.0,0.4684,0.2656,0.8234,0.3637,0.3664,0.4641,5.74,0.0709,100,7.5
stare_low,cs20_ms20_eps0.1,0.4409,0.2966,0.771,0.3453,0.3335,0.4368,4.7,0.1576,100,9.5
stare_low,cs20_msauto_eps0.1,0.4409,0.2966,0.771,0.3453,0.3335,0.4368,4.7,0.1576,100,9.5
stare_low,cs20_ms20_eps0.0,0.4407,0.2969,0.7708,0.3452,0.3331,0.4365,4.71,0.158,100,11.5
stare_low,cs20_msauto_eps0.0,0.4407,0.2969,0.7708,0.3452,0.3331,0.4365,4.71,0.158,100,11.5
