n_true,n_clusters,v_measure,ari,nmi,silhouette,davies_bouldin,noise_ratio,best_window,time_s,scenario
4.32,2.59,0.5992,0.5365,0.5992,0.0853,190.7443,0.2585,3,13.42,stare_low
15.75,4.32,0.7541,0.7287,0.7541,0.2433,1.201,0.2482,5,14.05,stare_high
3.39,2.83,0.6173,0.5784,0.6173,0.2028,200.5099,0.2639,97,14.05,scan_low
18.04,7.49,0.8126,0.7518,0.8126,0.4821,0.8603,0.1552,33,14.45,scan_high
7.8,4.58,0.8023,0.7623,0.8023,0.4321,30.8419,0.1017,68,13.87,mixed
