n_true,n_clusters,v_measure,ari,nmi,silhouette,davies_bouldin,noise_ratio,best_window,louvain_time_s,hmm_time_s,noise_recovery_time_s,noise_recovered_pct,time_s,scenario
4.32,9.28,0.1483,0.1052,0.1483,-0.5154,6.3315,0.0,28,7.95,0.21,0.0,0.0,10.7,stare_low
15.75,9.48,0.0797,0.0292,0.0797,-0.4734,1.9263,0.0,79,7.84,0.14,0.0,0.0,10.74,stare_high
3.39,8.56,0.1264,0.116,0.1264,-0.5798,5.2676,0.0,1,7.74,0.11,0.0,0.0,10.63,scan_low
18.04,10.79,0.0584,0.0151,0.0584,-0.713,6.6492,0.0,15,7.77,0.24,0.0,0.0,10.58,scan_high
7.8,9.67,0.1205,0.0814,0.1205,-0.6249,14.7547,0.0,94,7.96,0.21,0.0,0.0,10.78,mixed
