n_true,n_clusters,v_measure,ari,nmi,silhouette,davies_bouldin,noise_ratio,time_s,scenario
4.32,2.74,0.786,0.7907,0.786,0.5631,0.6568,0.0979,5.57,stare_low
15.75,6.06,0.9326,0.9623,0.9326,0.4268,0.884,0.0529,4.3,stare_high
3.39,4.51,0.5828,0.5309,0.5828,0.5021,0.9025,0.0537,4.4,scan_low
18.04,9.49,0.8615,0.8023,0.8615,0.5318,0.7276,0.0684,4.25,scan_high
7.8,5.61,0.852,0.828,0.852,0.5872,0.6624,0.0372,4.43,mixed
