v_measure,ari,nmi,silhouette,davies_bouldin,n_true,n_clusters,noise_ratio,time_s,scenario
0.7706,0.786,0.7706,0.5274,0.9854,4.32,2.69,0.0014,28.05,stare_low
0.8904,0.9454,0.8904,0.4208,1.115,15.75,6.04,0.0098,163.48,stare_high
0.6293,0.5811,0.6293,0.4814,1.0706,3.39,3.55,0.0004,22.82,scan_low
0.8379,0.7872,0.8379,0.5006,0.9516,18.04,9.41,0.0195,50.55,scan_high
0.8186,0.8054,0.8186,0.5562,0.8527,7.8,5.36,0.0021,30.81,mixed
