scenario,A_v,B_v,C_v,A_ari,B_ari,C_ari,A_noise,B_noise,C_noise,B_param,C_param,Run_D_PRIstat_v,Run_D_PRIstat_ari,Run_D_PRIstat_noise,Run_D_PRIstat_param,Run_E_FFT_v,Run_E_FFT_ari,Run_E_FFT_noise,Run_E_FFT_param,Run_F_UMAP13D_v,Run_F_UMAP13D_ari,Run_F_UMAP13D_noise,Run_F_UMAP13D_param,G_graph_v,G_graph_ari,G_graph_noise,H_cdif_v,H_cdif_ari,H_cdif_noise,I_cnn_v,I_cnn_ari,I_cnn_noise
stare_low,0.27,0.4987,0.4914,0.2,0.4313,0.4295,0.35,0.2458,0.1799,cs50_ms50_eps0.0,cs10_ms10_eps0.0,0.4987,0.4313,0.2458,cs50_ms50_eps0.0,0.4987,0.4313,0.2458,cs50_ms50_eps0.0,0.4641,0.3851,0.0382,cs20_ms20_eps0.0,0.1483,0.1052,0.0,0.5992,0.5365,0.259,0.786,0.7907,0.098
stare_high,0.29,0.902,0.4432,0.22,0.9693,0.3783,0.32,0.0338,0.2605,cs10_ms10_eps0.1,cs10_ms10_eps0.0,0.902,0.9693,0.0338,cs10_ms10_eps0.1,0.902,0.9693,0.0338,cs10_ms10_eps0.1,0.5791,0.5293,0.012,cs10_ms10_eps0.0,0.0797,0.0292,0.0,0.7541,0.7287,0.248,0.9326,0.9623,0.053
scan_low,0.45,0.6479,0.507,0.38,0.597,0.4577,0.12,0.0164,0.0669,cs10_ms10_eps0.1,cs10_ms10_eps0.0,0.6479,0.597,0.0164,cs10_ms10_eps0.1,0.6479,0.597,0.0164,cs10_ms10_eps0.1,0.4314,0.3407,0.0097,cs20_ms20_eps0.0,0.1264,0.116,0.0,0.6173,0.5784,0.264,0.5828,0.5309,0.054
scan_high,0.59,0.8709,0.6478,0.5,0.8362,0.4954,0.08,0.043,0.1448,cs10_ms10_eps0.1,cs10_ms10_eps0.1,0.8709,0.8362,0.043,cs10_ms10_eps0.1,0.8709,0.8362,0.043,cs10_ms10_eps0.1,0.6558,0.4939,0.0252,cs20_ms20_eps0.0,0.0584,0.0151,0.0,0.8126,0.7518,0.155,0.8615,0.8023,0.068
mixed,0.35,0.8097,0.6147,0.28,0.7499,0.5219,0.2,0.027,0.0532,cs10_ms10_eps0.1,cs10_ms10_eps0.1,0.8097,0.7499,0.027,cs10_ms10_eps0.1,0.8097,0.7499,0.027,cs10_ms10_eps0.1,0.5645,0.4319,0.0098,cs20_ms20_eps0.0,0.1205,0.0814,0.0,0.8023,0.7623,0.102,0.852,0.828,0.037
