scenario,param_label,v_measure_mean,v_measure_std,homogeneity_mean,completeness_mean,ari_mean,ami_mean,silhouette_mean,n_clusters_pred_mean,noise_ratio_mean,n_windows,v_measure_rank
stare_high,cs20_msauto_eps0.1,0.8884,0.0379,0.8843,0.8954,0.9571,0.8855,0.8096,5.6200,0.0494,100,6.5000
stare_high,cs50_ms50_eps0.0,0.8183,0.1036,0.7586,0.9077,0.8750,0.8149,0.7968,3.5800,0.0817,100,10.5000
stare_high,cs50_ms50_eps0.1,0.8183,0.1036,0.7586,0.9077,0.8750,0.8149,0.7968,3.5800,0.0817,100,10.5000
stare_high,cs50_msauto_eps0.0,0.8183,0.1036,0.7586,0.9077,0.8750,0.8149,0.7968,3.5800,0.0817,100,10.5000
stare_high,cs50_msauto_eps0.1,0.8183,0.1036,0.7586,0.9077,0.8750,0.8149,0.7968,3.5800,0.0817,100,10.5000
stare_low,cs50_ms50_eps0.0,0.4987,0.3558,0.9073,0.4232,0.4313,0.4967,0.4979,2.5000,0.2458,100,2.5000
stare_low,cs50_ms50_eps0.1,0.4987,0.3558,0.9073,0.4232,0.4313,0.4967,0.4979,2.5000,0.2458,100,2.5000
stare_low,cs50_msauto_eps0.0,0.4987,0.3558,0.9073,0.4232,0.4313,0.4967,0.4979,2.5000,0.2458,100,2.5000
stare_low,cs50_msauto_eps0.1,0.4987,0.3558,0.9073,0.4232,0.4313,0.4967,0.4979,2.5000,0.2458,100,2.5000
stare_low,cs10_ms10_eps0.1,0.4690,0.2648,0.8258,0.3640,0.3668,0.4647,0.5277,5.7000,0.0686,100,5.5000
stare_low,cs10_msauto_eps0.1,0.4690,0.2648,0.8258,0.3640,0.3668,0.4647,0.5277,5.7000,0.0686,100,5.5000
stare_low,cs10_ms10_eps0.0,0.4684,0.2656,0.8234,0.3637,0.3664,0.4641,0.5241,5.7400,0.0709,100,7.5000
stare_low,cs10_msauto_eps0.0,0.4684,0.2656,0.8234,0.3637,0.3664,0.4641,0.5241,5.7400,0.0709,100,7.5000
stare_low,cs20_ms20_eps0.1,0.4409,0.2966,0.7710,0.3453,0.3335,0.4368,0.5343,4.7000,0.1576,100,9.5000
stare_low,cs20_msauto_eps0.1,0.4409,0.2966,0.7710,0.3453,0.3335,0.4368,0.5343,4.7000,0.1576,100,9.5000
stare_low,cs20_ms20_eps0.0,0.4407,0.2969,0.7708,0.3452,0.3331,0.4365,0.5373,4.7100,0.1580,100,11.5000
stare_low,cs20_msauto_eps0.0,0.4407,0.2969,0.7708,0.3452,0.3331,0.4365,0.5373,4.7100,0.1580,100,11.5000
