v_measure,ari,nmi,silhouette,davies_bouldin,n_true,n_clusters,noise_ratio,time_s,scenario
0.0757,0.0397,0.0757,-0.1427,56.6661,4.32,10.48,0.0858,9.57,stare_low
0.2562,0.1224,0.2562,-0.2299,45.9514,15.75,23.62,0.0614,9.74,stare_high
0.0718,0.0544,0.0718,-0.0764,105.0611,3.39,8.39,0.0562,9.38,scan_low
0.1116,0.0547,0.1116,-0.0209,53.3689,18.04,8.39,0.0681,9.59,scan_high
0.0907,0.0605,0.0907,-0.0578,40.0311,7.8,5.97,0.0695,9.43,mixed
